[OK] Fetching active + stale/unchecked catalog rows from Supabase...
[OK] 1175 row(s) due for a review check (unchecked or >182 days stale).
[1/1175] Illini Summer Academies... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[26/1175] AIM Summer Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[27/1175] AIME... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[28/1175] AMC 10 & 12... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[29/1175] American Computer Science League... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[30/1175] American Legion Camp... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[31/1175] American Politics Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[32/1175] American Regions Mathematics League... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[33/1175] American Rocketry Challenge... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[34/1175] AMRI Research Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[35/1175] Anime/Manga Session... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[36/1175] Ann Arbor Entrepreneurship... mixed, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[37/1175] Annenberg Youth Academy... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[38/1175] Annual Art Competition on Weather... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[39/1175] Annual Challenge... positive, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[40/1175] Anson L. Clark Scholars Program... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[41/1175] Antimicrobial Drug Discovery... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[42/1175] Applied Research In Science and Engineering... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[43/1175] Apprenticeship Program... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[44/1175] Apprenticeship Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[45/1175] Apprenticeships in Science & Engineering... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[46/1175] Architecture Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[47/1175] Architecture Summer Immersion... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[48/1175] ArcStart... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[49/1175] ARISE UWCCC Summer High School Cancer Research... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[50/1175] Arizona Cancer Center... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[51/1175] Arizona State University... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[52/1175] Arizona State University... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[53/1175] Arizona State University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[54/1175] Art & Design Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[55/1175] Art Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[56/1175] Art Camp: Methods of Making... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[57/1175] Art Museum Summer Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[58/1175] Art Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[59/1175] Artificial Intelligence Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[60/1175] Artificial Intelligence Bootcamp... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[61/1175] Artificial Intelligence Bootcamp... mixed, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[62/1175] Artificial Intelligence Internship... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[63/1175] ASP Summer... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[64/1175] ASPIRE... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[65/1175] ASPIRE Scholars Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[66/1175] Aspiring Scholars Directed Research Program... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[67/1175] Aspirnaut Summer Research... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[68/1175] ASSIP Program... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[69/1175] ASU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[70/1175] ASU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[71/1175] ASU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[72/1175] Athena Summer Innovation Institute... mixed, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[73/1175] Auburn University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[74/1175] Badger Precollege... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[75/1175] Badger Summer Scholars... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[76/1175] Bay Area Entrepreneurship... mixed, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[77/1175] Beaverworks... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[78/1175] Begin Your Medical Research Journey... mixed, 0 search(es) [SILENT: no search invoked], $0.0017 [changed]
[79/1175] Belin-Blank Research Center... positive, 0 search(es) [SILENT: no search invoked], $0.0016 [changed]
[80/1175] Bentley University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[81/1175] Bentley University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[82/1175] Bentley University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[83/1175] Bentley University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[84/1175] Berkeley Math Tournament... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[85/1175] BFS Internship... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[86/1175] Big Idea Competition... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[87/1175] Big Red Camps... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[88/1175] Big Sky Leadership Forum... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[89/1175] Bioengineering Research... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[90/1175] Biomechanics at UNO... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[91/1175] Biomedical Engineering Innovation... positive, 0 search(es) [SILENT: no search invoked], $0.0016 [changed]
[92/1175] Biomedical Research Internship... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[93/1175] Biomedical Research Lectures... mixed, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[94/1175] Biophysics Research... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[95/1175] Biotech Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[96/1175] Biotech Summer Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[97/1175] Biotechnology for Science & Health Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[98/1175] Biotechnology Intern... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[99/1175] Biotechnology Lab Techniques... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[100/1175] Biotechnology Sequencing (BTS) Camp... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[101/1175] Blum Center at UCI... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[102/1175] Botball Scholarship Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[103/1175] Bound Summer Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[104/1175] Bowdoin College... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[105/1175] BrainYac... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[106/1175] Branding & Marketing Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[107/1175] Bridge Building Contest... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[108/1175] Bridge Undergraduate Science Jr. Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[109/1175] Bridges to Social Justice Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[110/1175] Brown University... mixed, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[111/1175] Brown University... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[112/1175] Bruin Ascent Summer Experience (BASE)... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[113/1175] Buffalo Zoo... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[114/1175] Bug Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[115/1175] Building Leadership Strategies Summer Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[116/1175] Business & Marketing Internship... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[117/1175] Business Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[118/1175] Business and Technology Programs... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[119/1175] Business Basics... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[120/1175] Business Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[121/1175] Business Immersion... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[122/1175] Business Opportunities Summer Session... positive, 1 search(es), $0.0151 [changed]
[123/1175] Business Research... mixed, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[124/1175] Business Summer Institutes... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[125/1175] CAALS3D... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[126/1175] California State University Sacramento (CSUS)... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[127/1175] CAMINOS: Your Journey to College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[128/1175] Camp Arch... positive, 0 search(es) [SILENT: no search invoked], $0.0016 [changed]
[129/1175] Camp Shule... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[130/1175] Cancer Center... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[131/1175] Cancer Epidemiology and Genetics Internship... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[132/1175] Captured in Clay... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[133/1175] Cardiothoracic Surgical Skills... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[134/1175] Carver Summer Research Internship... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[135/1175] Case Western Reserve University... positive, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[136/1175] CATALYST Academy... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[137/1175] CBI... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[138/1175] CCRI - Climate Change... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[139/1175] CCRI - Climate Change... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[140/1175] CCRI - Land... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[141/1175] CCRI - Snow... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[142/1175] CCRI - Urban... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[143/1175] CEAT - Automation and Robotics Discovery... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[144/1175] CED Build Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[145/1175] CED emBARC Academy... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[146/1175] CED Summer Institute... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[147/1175] Cellular Construction Workshop... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[148/1175] Center for English Language and Orientation Programs... [ERROR] Expecting ',' delimiter: line 7 column 106 (char 509)
[149/1175] Center for Neurotechnology... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[150/1175] Challenging Academically Talented Students... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[151/1175] Changemakers Pre-College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[152/1175] ChemiCo... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[153/1175] China Emerging Leaders... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[154/1175] China Scholars Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[155/1175] Choir Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[156/1175] CISESS... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[157/1175] Citizen Entrepreneurship Competition... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[158/1175] Citizens Thinkers Writers... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[159/1175] City of Albany... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[160/1175] City of Rochester... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[161/1175] CityLab Biotechnology SummerLab... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[162/1175] Civic Engagement Leadership Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[163/1175] Civic Leadership Institute... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[164/1175] Clarkson University... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[165/1175] Climate Science at UNL... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[166/1175] Clinical Anatomy... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[167/1175] Clinical Summer Internship... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[168/1175] Clinical Summer Internship... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[169/1175] CLIP Leadership & Innovation... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[170/1175] CMIMC Math Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[171/1175] CMM Math Tournament... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[172/1175] Coding and Robotics Intern... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[173/1175] Coding for Game Design... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[174/1175] Coding for Game Design... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[175/1175] Coding Program... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[176/1175] Colgate University... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[177/1175] College Access Leadership Institute... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[178/1175] College Bridge... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[179/1175] College Bridge... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[180/1175] College Edge: Summer... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[181/1175] College of Design Pre-College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[182/1175] College Prep Program... mixed, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[183/1175] College Prep Program... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[184/1175] College Summer Studies... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[185/1175] College-Bound STEM Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[186/1175] Collegiate Seminar Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[187/1175] Colorado School of Mines... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[188/1175] Columbia... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[189/1175] Columbia Writing Academy: Summer... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[190/1175] Communications Intern... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[191/1175] Computational Biology Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[192/1175] Computational Biology Research... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[193/1175] Computer & Data Science Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[194/1175] Computer Engineering for Good... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[195/1175] Computer Science and Informatics... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[196/1175] Computer Science for Cyber Security... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[197/1175] Computer Science Summer Academics... positive, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[198/1175] Computing Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[199/1175] Congressional App Challenge... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[200/1175] Congressional Art Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[201/1175] Conrad Challenge... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[202/1175] Consider Engineering Summer Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[203/1175] Cooper Union... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[204/1175] Cooper Union... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[205/1175] Cooper Union... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[206/1175] Cornell University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[207/1175] CreateTech Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[208/1175] Creative Writing Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[209/1175] Creative Writing Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[210/1175] CReSIS... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[211/1175] CS Scholars Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[212/1175] CSU... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[213/1175] CU Boulder... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[214/1175] CURE - Summer Only... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[215/1175] CURIE Academy... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[216/1175] Cyber Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[217/1175] Cyber Patriot Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[218/1175] Davidson College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[219/1175] DaVinci Summer Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[220/1175] Debate and Public Speaking Intensive... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[221/1175] Della Pietra HS Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[222/1175] Democracy Scholars... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[223/1175] Dentistry Saturday Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[224/1175] Design Discovery Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[225/1175] Design Lab Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[226/1175] Design Media Arts... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[227/1175] Design Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[228/1175] Design, Invent & Innovate... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[229/1175] Destination Imagination Challenge... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[230/1175] DHC Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[231/1175] Digital Marketing Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[232/1175] Discover Accounting... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[233/1175] Discover Actuarial Science... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[234/1175] Discover Architecture... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0008 [changed]
[235/1175] Discover Architecture... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[236/1175] Discover Biomedical Research Summer Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[237/1175] Discover How the Systems of the Body Work Together... mixed, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[238/1175] Discover Nursing and Its Vital Role in Healthcare... mixed, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[239/1175] Discover the Exciting World of Surgery... mixed, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[240/1175] Discover the Fast-Paced World of Journalism... mixed, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[241/1175] Discovering Engineering... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[242/1175] Discovery Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[243/1175] Discovery to Cure Program... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[244/1175] Doodle Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[245/1175] Double Discovery Center... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[246/1175] Drama Pre-College... positive, 0 search(es) [SILENT: no search invoked], $0.0021 [changed]
[247/1175] DREAMBIG Academy... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[248/1175] Drexel University... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[249/1175] DSAP Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[250/1175] Duke Math Meet... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[251/1175] Duke University... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[252/1175] Dune Neuroscience Experience... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[253/1175] EAOP... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[254/1175] Early College Credit Program... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[255/1175] Earth & Mineral Science Exposition... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0006 [changed]
[256/1175] Earthquake Program... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[257/1175] Eco-Marathon Competition... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[258/1175] Economics Policy Academy... mixed, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[259/1175] Ellen Brenner Internship... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[260/1175] Emergent Quantum Materials and Technologies... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[261/1175] Emerging Rural Leaders I... positive, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[262/1175] Emerging Rural Leaders II... positive, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[263/1175] Emerging Scholars Academy... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[264/1175] Emerging World Leaders... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[265/1175] Finance Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[266/1175] Emory & Henry College... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[267/1175] Engineering & CS Camp... insufficient_data, 0 search(es) [SILENT: no search invoked], $0.0007 [changed]
[268/1175] Engineering Camp... positive, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
