[OK] Fetching active catalog from Supabase...
[OK] 1207 active rows.
[1/1207] Illini Summer Academies... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[35/1207] Anime/Manga Session... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[36/1207] Ann Arbor Entrepreneurship... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[37/1207] Annenberg Youth Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[38/1207] Annual Art Competition on Weather... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[39/1207] Annual Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[40/1207] Anson L. Clark Scholars Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[41/1207] Antimicrobial Drug Discovery... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[42/1207] Applied Research In Science and Engineering... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[43/1207] Apprenticeship Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[44/1207] Apprenticeship Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[45/1207] Apprenticeships in Science & Engineering... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[46/1207] Architecture Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[47/1207] Architecture Summer Immersion... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[48/1207] ArcStart... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[49/1207] ARISE UWCCC Summer High School Cancer Research... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[50/1207] Arizona Cancer Center... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[51/1207] Arizona State University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[52/1207] Arizona State University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[53/1207] Arizona State University... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[54/1207] Art & Design Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[55/1207] Art Camp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[56/1207] Art Camp: Methods of Making... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[57/1207] Art Museum Summer Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[58/1207] Art Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[59/1207] Artificial Intelligence Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[60/1207] Artificial Intelligence Bootcamp... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[61/1207] Artificial Intelligence Bootcamp... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[62/1207] Artificial Intelligence Internship... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[63/1207] ASP Summer... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[64/1207] ASPIRE... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[65/1207] ASPIRE Scholars Program... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[66/1207] Aspiring Scholars Directed Research Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[67/1207] Aspirnaut Summer Research... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[68/1207] ASSIP Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[69/1207] ASU... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[70/1207] ASU... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[71/1207] ASU... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[72/1207] Athena Summer Innovation Institute... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[73/1207] Auburn University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[74/1207] Badger Precollege... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[75/1207] Badger Summer Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[76/1207] Bay Area Entrepreneurship... running, 0 search(es) [SILENT: no search invoked], $0.0016 [changed]
[77/1207] Beaverworks... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[78/1207] Begin Your Medical Research Journey... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[79/1207] Belin-Blank Research Center... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[80/1207] Bentley University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[81/1207] Bentley University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[82/1207] Bentley University... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[83/1207] Bentley University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[84/1207] Berkeley Math Tournament... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[85/1207] BFS Internship... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[86/1207] Big Idea Competition... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[87/1207] Big Red Camps... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[88/1207] Big Sky Leadership Forum... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[89/1207] Bioengineering Research... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[90/1207] Biomechanics at UNO... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[91/1207] Biomedical Engineering Innovation... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[92/1207] Biomedical Research Internship... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[93/1207] Biomedical Research Lectures... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[94/1207] Biophysics Research... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[95/1207] Biotech Academy... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[96/1207] Biotech Summer Camp... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[97/1207] Biotechnology for Science & Health Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[98/1207] Biotechnology Intern... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[99/1207] Biotechnology Lab Techniques... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[100/1207] Biotechnology Sequencing (BTS) Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[101/1207] Blum Center at UCI... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[102/1207] Botball Scholarship Competition... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[103/1207] Bound Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[104/1207] Bowdoin College... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[105/1207] BrainYac... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[106/1207] Branding & Marketing Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[107/1207] Bridge Building Contest... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[108/1207] Bridge Undergraduate Science Jr. Program... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[109/1207] Bridges to Social Justice Academy... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[110/1207] Brown University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[111/1207] Brown University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[112/1207] Bruin Ascent Summer Experience (BASE)... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[113/1207] Buffalo Zoo... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[114/1207] Bug Camp... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[115/1207] Building Leadership Strategies Summer Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[116/1207] Business & Marketing Internship... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[117/1207] Business Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[118/1207] Business and Technology Programs... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[119/1207] Business Basics... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[120/1207] Business Competition... running, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[121/1207] Business Immersion... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[122/1207] Business Opportunities Summer Session... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[123/1207] Business Research... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[124/1207] Business Summer Institutes... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[125/1207] CAALS3D... unknown, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[126/1207] California State University Sacramento (CSUS)... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[127/1207] CAMINOS: Your Journey to College... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[128/1207] Camp Arch... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[129/1207] Camp Shule... running, 1 search(es), $0.0150 [changed]
[130/1207] Cancer Center... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[131/1207] Cancer Epidemiology and Genetics Internship... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[132/1207] Captured in Clay... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[133/1207] Cardiothoracic Surgical Skills... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[134/1207] Carver Summer Research Internship... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[135/1207] Case Western Reserve University... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[136/1207] CATALYST Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[137/1207] CBI... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[138/1207] CCRI - Climate Change... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[139/1207] CCRI - Climate Change... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[140/1207] CCRI - Land... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[141/1207] CCRI - Snow... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[142/1207] CCRI - Urban... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[143/1207] CEAT - Automation and Robotics Discovery... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[144/1207] CED Build Camp... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[145/1207] CED emBARC Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[146/1207] CED Summer Institute... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[147/1207] Cellular Construction Workshop... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[148/1207] Center for English Language and Orientation Programs... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[149/1207] Center for Neurotechnology... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[150/1207] Challenging Academically Talented Students... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[151/1207] Changemakers Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[152/1207] ChemiCo... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[153/1207] China Emerging Leaders... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[154/1207] China Scholars Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[155/1207] Choir Camp... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[156/1207] CISESS... unknown, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[157/1207] Citizen Entrepreneurship Competition... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[158/1207] Citizens Thinkers Writers... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[159/1207] City of Albany... running, 2 search(es), $0.0293 [changed]
[160/1207] City of Rochester... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[161/1207] CityLab Biotechnology SummerLab... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[162/1207] Civic Engagement Leadership Academy... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[163/1207] Civic Leadership Institute... running, 1 search(es), $0.0152 [changed]
[164/1207] Clarkson University... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[165/1207] Climate Science at UNL... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[166/1207] Clinical Anatomy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[167/1207] Clinical Summer Internship... running, 2 search(es), $0.0292 [changed]
[168/1207] Clinical Summer Internship... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[169/1207] CLIP Leadership & Innovation... [ERROR] HTTP 503
[170/1207] CMIMC Math Competition... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[171/1207] CMM Math Tournament... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[172/1207] Coding and Robotics Intern... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[173/1207] Coding for Game Design... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[174/1207] Coding for Game Design... running, 0 search(es) [SILENT: no search invoked], $0.0016 [changed]
[175/1207] Coding Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[176/1207] Colgate University... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[177/1207] College Access Leadership Institute... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[178/1207] College Bridge... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[179/1207] College Bridge... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[180/1207] College Edge: Summer... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[181/1207] College of Design Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[182/1207] College Prep Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[183/1207] College Prep Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[184/1207] College Summer Studies... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[185/1207] College-Bound STEM Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[186/1207] Collegiate Seminar Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[187/1207] Colorado School of Mines... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[188/1207] Columbia... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[189/1207] Columbia Writing Academy: Summer... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[190/1207] Communications Intern... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[191/1207] Computational Biology Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[192/1207] Computational Biology Research... running, 2 search(es), $0.0291 [changed]
[193/1207] Computer & Data Science Camp... not_running, 1 search(es), $0.0150 [changed]
[194/1207] Computer Engineering for Good... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[195/1207] Computer Science and Informatics... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[196/1207] Computer Science for Cyber Security... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[197/1207] Computer Science Summer Academics... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[198/1207] Computing Program... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[199/1207] Congressional App Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[200/1207] Congressional Art Competition... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[201/1207] Conrad Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[202/1207] Consider Engineering Summer Camp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[203/1207] Cooper Union... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[204/1207] Cooper Union... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[205/1207] Cooper Union... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[206/1207] Cornell University... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[207/1207] CreateTech Camp... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[208/1207] Creative Writing Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[209/1207] Creative Writing Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[210/1207] CReSIS... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[211/1207] CS Scholars Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[212/1207] CSU... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[213/1207] CU Boulder... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[214/1207] CURE - Summer Only... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[215/1207] CURIE Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[216/1207] Cyber Camp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[217/1207] Cyber Patriot Competition... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[218/1207] Davidson College... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[219/1207] DaVinci Summer Camp... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[220/1207] Debate and Public Speaking Intensive... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[221/1207] Della Pietra HS Program... unknown, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[222/1207] Democracy Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[223/1207] Dentistry Saturday Academy... running, 1 search(es), $0.0151 [changed]
[224/1207] Design Discovery Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[225/1207] Design Lab Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[226/1207] Design Media Arts... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[227/1207] Design Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[228/1207] Design, Invent & Innovate... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[229/1207] Destination Imagination Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[230/1207] DHC Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[231/1207] Digital Marketing Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[232/1207] Discover Accounting... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[233/1207] Discover Actuarial Science... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[234/1207] Discover Architecture... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[235/1207] Discover Architecture... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[236/1207] Discover Biomedical Research Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[237/1207] Discover How the Systems of the Body Work Together... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[238/1207] Discover Nursing and Its Vital Role in Healthcare... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[239/1207] Discover the Exciting World of Surgery... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[240/1207] Discover the Fast-Paced World of Journalism... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[241/1207] Discovering Engineering... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[242/1207] Discovery Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[243/1207] Discovery to Cure Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[244/1207] Doodle Competition... [ERROR] HTTP 503
[245/1207] Double Discovery Center... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[246/1207] Drama Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[247/1207] DREAMBIG Academy... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[248/1207] Drexel University... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[249/1207] DSAP Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[250/1207] Duke Math Meet... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[251/1207] Duke University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[252/1207] Dune Neuroscience Experience... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[253/1207] EAOP... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[254/1207] Early College Credit Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[255/1207] Earth & Mineral Science Exposition... running, 1 search(es), $0.0153 [changed]
[256/1207] Earthquake Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[257/1207] Eco-Marathon Competition... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[258/1207] Economics Policy Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[259/1207] Ellen Brenner Internship... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[260/1207] Emergent Quantum Materials and Technologies... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[261/1207] Emerging Rural Leaders I... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[262/1207] Emerging Rural Leaders II... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[263/1207] Emerging Scholars Academy... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[264/1207] Emerging World Leaders... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[265/1207] Finance Camp... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[266/1207] Emory & Henry College... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[267/1207] Engineering & CS Camp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[268/1207] Engineering Camp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[269/1207] Engineering Design Summer Institute... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[270/1207] Engineering Discovery for Girls... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[271/1207] Engineering Possibilities in College... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[272/1207] Engineering Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[273/1207] Engineering Summer Academy... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[274/1207] Engineering Summer Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[275/1207] Engineering Virtual Summer Program... not_running, 2 search(es), $0.0293 [changed]
[276/1207] Engineering, Math and Science Camp... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[277/1207] ENLACE Summer Research... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[278/1207] Entrepreneurship Academy... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[279/1207] Entrepreneurship Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[280/1207] Entrepreneurship Competition... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[281/1207] Entrepreneurship Competition... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[282/1207] Environmental Sciences Programs... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[283/1207] EnvironMentors... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[284/1207] Essentials of Leadership... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[285/1207] ESTEEM/SER-Quest Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[286/1207] Evolution through Culture Camp... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[287/1207] Ewgis Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[288/1207] Experience in Research... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[289/1207] Explorations in Biology... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
